year,data_type,region,extent
1979, Goddard,N,7.19
1980, Goddard,N,7.83
1981, Goddard,N,7.24
1982, Goddard,N,7.44
1983, Goddard,N,7.51
1984, Goddard,N,7.1
1985, Goddard,N,6.91
1986, Goddard,N,7.53
1987, Goddard,N,7.47
1988, Goddard,N,7.48
1989, Goddard,N,7.03
1990, Goddard,N,6.23
1991, Goddard,N,6.54
1992, Goddard,N,7.54
1993, Goddard,N,6.4
1994, Goddard,N,7.18
1995, Goddard,N,6.12
1996, Goddard,N,7.87
1997, Goddard,N,6.73
1998, Goddard,N,6.55
1999, Goddard,N,6.23
2000, Goddard,N,6.31
2001, Goddard,N,6.74
2002, Goddard,N,5.95
2003, Goddard,N,6.13
2004, Goddard,N,6.04
2005, Goddard,N,5.56
2006, Goddard,N,5.91
2007, Goddard,N,4.29
2008, Goddard,N,4.72
2009, Goddard,N,5.38
2010, Goddard,N,4.92
2011, Goddard,N,4.61
2012, Goddard,N,3.62
2013, Goddard,N,5.35
