year,Greenhouse_gases,Orbital_changes,Ozone,Solar,Volcanic
1880,287.505983,287.4333069,287.4003873,287.3992015,287.4407844
1881,287.4923243,287.4071775,287.395704,287.4171823,287.4708549
1882,287.4528977,287.4248835,287.3864733,287.4478705,287.4680167
1883,287.5001915,287.4234407,287.3990287,287.4353421,287.4026555
1884,287.4879753,287.4441164,287.3959911,287.474246,287.0703867
1885,287.4754009,287.4176693,287.4131911,287.5321225,287.0698061
1886,287.5057988,287.400932,287.4053304,287.4914971,287.1948543
1887,287.5475424,287.4458775,287.3931092,287.4492426,287.2909609
1888,287.5115341,287.451626,287.4222535,287.4410248,287.3332118
1889,287.4670058,287.3916536,287.4231502,287.449295,287.3422311
1890,287.4514486,287.4142017,287.3957826,287.4238028,287.3737467
1891,287.4996694,287.4595252,287.4033721,287.438238,287.3252184
1892,287.5240529,287.4213748,287.4204715,287.4418983,287.3305418
1893,287.4998275,287.4600775,287.4296177,287.4496493,287.3806486
1894,287.5355189,287.4470827,287.4609353,287.4736779,287.4110737
1895,287.5520953,287.4580911,287.4401354,287.4898234,287.4797239
1896,287.5387063,287.4647302,287.4262905,287.4665406,287.4689413
1897,287.5193399,287.446069,287.4154651,287.4513152,287.4761809
1898,287.4948272,287.4657003,287.4381435,287.4464531,287.478458
1899,287.5373376,287.4964694,287.4084819,287.4733029,287.4361611
1900,287.5366455,287.4396992,287.3965473,287.428335,287.5296885
1901,287.5066288,287.4974173,287.4084875,287.4396271,287.495535
1902,287.5944534,287.4936351,287.4337692,287.4457917,287.4508835
1903,287.5199668,287.4956793,287.4394314,287.4387322,287.2721609
1904,287.5701887,287.4447351,287.4510012,287.4332924,287.3280442
1905,287.6098152,287.4962364,287.4618312,287.4409517,287.3900694
1906,287.5636421,287.4446574,287.4640454,287.3900174,287.4220155
1907,287.6035437,287.4587868,287.4716545,287.4198167,287.4070452
1908,287.5534342,287.4465946,287.4657581,287.4294235,287.411678
1909,287.5369455,287.4392523,287.4594318,287.4341641,287.4786854
1910,287.5650785,287.4650303,287.4284855,287.4598219,287.4608861
1911,287.5716891,287.457249,287.4505526,287.4564672,287.4940866
1912,287.5975713,287.413501,287.464509,287.4116972,287.5026972
1913,287.64137,287.4610394,287.4458745,287.4148092,287.4100575
1914,287.5871849,287.4425312,287.4383287,287.4313515,287.4210102
1915,287.6058807,287.4320638,287.4625411,287.430296,287.4683032
1916,287.5710454,287.4171048,287.4985591,287.398982,287.5038007
1917,287.5705778,287.4233082,287.487653,287.4304293,287.449649
1918,287.6050411,287.4209847,287.4832874,287.4533388,287.4709143
1919,287.6359861,287.4509707,287.4154157,287.4708508,287.4508281
1920,287.5868161,287.4079416,287.4085155,287.4571683,287.4365224
1921,287.6126045,287.4004762,287.467757,287.4194356,287.4989747
1922,287.6225363,287.4014562,287.4269689,287.4330756,287.5097796
1923,287.641797,287.3694842,287.4983663,287.4914773,287.535803
1924,287.6231534,287.4088293,287.4459389,287.4524141,287.4627236
1925,287.6496248,287.395236,287.45482,287.4487442,287.4992274
1926,287.6816287,287.4125263,287.4416288,287.4801923,287.4893116
1927,287.6574602,287.4520886,287.4622659,287.4070887,287.4782899
1928,287.6468669,287.4264108,287.4615777,287.4541014,287.5213901
1929,287.7514568,287.4235211,287.4106504,287.429788,287.48069
1930,287.6722545,287.415922,287.4423865,287.4516445,287.4963328
1931,287.6702896,287.4435738,287.4529123,287.4533643,287.4462907
1932,287.7284118,287.4035765,287.4617221,287.4257857,287.4268653
1933,287.7579792,287.4312632,287.4627856,287.4400408,287.4342841
1934,287.7188846,287.4421387,287.4811672,287.4148736,287.492369
1935,287.7027773,287.3981925,287.4576933,287.453578,287.4526818
1936,287.7457337,287.4305631,287.4431479,287.4794191,287.4413076
1937,287.733939,287.4643587,287.4820607,287.4754978,287.4619405
1938,287.7582601,287.4288838,287.5029443,287.4472417,287.4479769
